State,Weather,Budget Level,Budget (INR),Transportation Options,Famous Places to Visit,Activities,Popularity,Reviews,Season,Language,Safety,Family-Friendly,Cultural Highlights,Food Cost (INR),Hotel Cost (INR)
4,1,2,15375,0,9,51,1,4.5,1,6,0,1,2,971,3
6,3,2,29209,1,8,30,2,4.1,0,1,1,0,1,1089,2098
5,0,0,45253,1,4,75,1,3.8,1,2,1,1,2,871,2770
4,2,2,47503,1,9,35,0,3.7,1,6,2,0,0,962,4908
2,1,2,35604,0,6,51,2,3.9,2,5,0,0,0,1615,2070
3,1,1,13654,1,0,14,0,4.0,1,4,1,1,2,1680,1884
3,0,2,25251,0,0,13,1,3.9,2,4,0,0,2,731,3
0,3,2,42580,0,10,47,2,4.0,0,3,0,1,0,1440,3945
6,2,1,7866,0,8,14,0,4.2,2,1,1,1,1,1153,3
1,1,0,17186,1,7,69,2,4.8,1,0,1,1,2,773,3
6,1,1,10695,0,8,35,2,4.9,1,1,1,1,0,513,1165
4,3,2,16795,0,9,26,2,4.2,0,6,2,0,0,779,3602
2,2,0,28238,0,6,47,0,4.6,2,5,0,1,2,692,2932
6,2,2,43830,0,11,60,2,3.5,0,1,1,0,0,597,3
3,3,1,39347,1,5,0,2,4.6,2,4,0,1,0,1613,3938
4,0,0,36436,1,9,26,1,4.6,0,6,2,1,1,528,3082
4,0,2,49581,0,12,51,2,4.9,2,6,2,1,2,1769,3
1,1,0,49867,1,3,32,1,4.4,2,0,0,1,0,1666,2005
6,2,1,34039,0,8,76,2,3.8,0,1,0,1,0,742,2535
3,0,1,48025,0,5,9,2,4.8,0,4,2,1,0,1648,3756
6,2,1,16667,0,11,34,0,4.4,2,1,1,0,2,613,4856
0,2,2,16127,1,13,65,1,3.8,1,3,2,0,2,1616,3298
0,3,1,12078,1,13,42,1,4.9,0,3,1,1,1,509,1265
4,2,1,35176,0,9,69,2,4.1,0,6,2,1,2,1010,3
5,2,2,22657,1,1,56,0,4.3,2,2,1,0,0,1346,2874
3,3,0,44350,0,0,9,0,3.6,2,4,1,0,0,1628,3
3,3,2,8943,1,5,18,2,3.7,1,4,0,1,1,1086,4551
5,3,2,37213,1,4,53,0,4.2,2,2,1,0,1,1399,2991
6,0,2,40160,0,8,51,1,4.2,2,1,0,0,1,1360,3
4,2,0,24579,1,12,64,0,3.6,1,6,1,0,2,671,3178
3,1,1,26683,1,5,73,1,4.9,0,4,2,0,1,1856,1107
1,0,2,44741,0,3,81,1,4.0,0,0,2,1,2,1110,3
4,1,2,46039,0,12,17,1,5.0,0,6,1,1,0,1160,1481
4,2,1,37239,0,12,51,1,4.3,2,6,2,0,1,983,1824
2,2,0,16429,1,2,45,2,4.5,0,5,1,1,1,640,3
0,3,2,18133,0,10,18,0,4.6,0,3,0,0,0,703,3
3,3,1,35551,1,0,22,1,4.6,1,4,0,0,1,972,3
2,3,0,29684,1,2,65,1,4.7,0,5,0,0,2,1521,2723
2,2,0,9291,1,2,0,0,3.7,2,5,0,0,2,1792,2602
0,3,0,22337,0,13,74,1,4.3,0,3,2,1,1,1931,3
2,0,1,15250,1,6,3,2,3.7,1,5,0,1,0,1761,2877
2,1,1,22128,1,6,51,0,4.4,1,5,1,1,0,1947,4233
1,2,1,33605,0,3,34,1,4.5,1,0,2,0,2,1562,4616
5,2,2,6062,0,1,66,0,3.8,1,2,2,0,1,1520,1253
6,1,2,24829,0,11,68,0,4.3,0,1,2,1,2,748,3
0,0,1,26745,1,13,73,1,3.8,0,3,0,0,2,506,3
0,3,1,42753,1,10,36,2,4.8,0,3,1,0,2,1235,3
2,2,0,30631,1,2,0,1,4.6,2,5,0,0,2,1034,1708
4,0,0,9901,0,12,64,2,4.0,0,6,0,0,1,1632,3
1,2,0,16648,1,3,3,0,3.9,2,0,1,0,1,990,4529
1,1,1,29935,1,3,13,0,4.5,2,0,2,1,0,516,4283
5,1,1,33634,1,4,0,2,4.2,0,2,2,1,0,664,4545
5,1,1,34834,0,4,51,2,4.7,0,2,2,0,1,1033,4170
1,2,1,25145,0,7,0,0,4.6,2,0,2,1,0,1394,1082
0,3,0,40398,0,10,77,2,3.7,2,3,2,1,2,1719,4687
4,0,0,25105,1,9,52,1,4.2,0,6,2,0,1,1276,4622
2,2,0,5870,0,6,1,0,4.6,2,5,2,0,0,566,3
2,0,2,39699,0,6,0,2,4.9,2,5,1,0,1,1501,1646
2,1,0,24376,0,6,30,2,3.7,0,5,2,0,0,879,4447
1,0,0,10543,0,3,12,1,3.6,2,0,0,0,1,1239,3
5,1,2,8249,0,1,31,2,3.9,2,2,0,0,2,1219,3
1,0,0,32778,1,7,68,2,4.5,2,0,1,1,0,521,3761
0,0,2,10668,1,10,68,1,4.3,0,3,1,1,0,1548,3
5,3,0,8404,0,1,17,1,5.0,2,2,2,0,0,1014,3
3,1,1,29455,1,5,34,0,4.9,1,4,1,0,1,1082,3
5,0,2,37696,0,4,0,0,4.8,2,2,1,1,2,890,3
4,2,0,6732,1,9,47,1,3.6,0,6,0,1,2,1824,3896
1,3,0,32815,0,3,74,2,4.5,1,0,1,0,0,1962,3
0,3,2,37340,1,10,22,1,4.8,1,3,0,1,0,1667,3
5,0,2,5522,0,4,68,1,4.9,0,2,1,1,2,1829,3
0,1,2,43459,0,13,8,0,4.4,0,3,1,1,0,570,4545
3,0,0,26605,1,5,57,0,4.7,1,4,1,1,1,507,2501
5,3,2,20594,1,1,9,0,3.7,0,2,1,1,0,633,3
0,2,0,39263,1,10,69,2,4.1,0,3,2,1,2,1393,3
5,2,0,13642,1,1,34,0,3.8,0,2,2,1,0,1097,3
4,2,2,38855,0,12,47,1,4.3,1,6,0,1,1,1415,1477
6,1,1,11034,0,8,11,0,4.4,0,1,2,1,0,888,1614
6,3,0,40929,1,11,68,2,3.6,1,1,1,0,0,756,3948
4,1,0,20555,0,12,23,1,4.5,1,6,2,1,1,1554,2078
6,3,1,26051,1,11,63,0,4.2,0,1,1,1,2,1169,2076
0,2,0,35784,1,10,72,2,4.2,0,3,0,1,1,1528,3447
1,2,1,20073,1,7,33,0,4.8,0,0,1,0,1,1971,3
3,1,2,28326,1,0,39,0,3.6,2,4,2,1,2,1997,3
2,0,2,48570,1,6,78,0,3.7,2,5,0,1,0,1499,4652
6,0,1,29340,1,8,15,2,3.7,0,1,0,1,2,989,4388
1,1,2,15503,0,7,6,0,4.2,1,0,1,1,0,1183,2421
3,3,0,14563,0,0,54,2,3.8,2,4,0,0,2,1529,4940
2,0,1,26233,0,6,19,0,4.8,2,5,2,0,2,1927,3
1,3,1,11857,0,7,26,0,4.8,2,0,1,1,2,1541,3
2,3,2,45226,0,2,37,0,3.8,2,5,2,0,1,968,4658
1,1,0,7953,1,3,26,2,3.7,1,0,1,1,1,1761,2395
5,2,0,44015,0,4,39,2,3.7,1,2,0,0,2,1585,4896
1,0,1,20674,1,7,48,0,4.6,2,0,1,1,1,664,3109
6,1,2,8652,0,8,23,0,3.6,0,1,2,1,1,1378,1649
3,3,1,39681,0,5,68,0,4.2,1,4,0,1,1,1423,3
1,2,1,5079,0,7,56,1,5.0,0,0,1,0,1,660,4150
4,0,0,35991,0,12,51,2,3.7,2,6,0,0,0,677,4755
6,3,0,19905,0,11,65,1,3.9,0,1,2,1,1,1444,1541
2,3,2,28484,0,6,8,2,3.8,2,5,1,0,1,554,3
4,2,0,27271,1,12,16,0,4.9,2,6,2,0,0,1387,1703
2,0,0,39917,1,2,50,2,4.2,2,5,1,1,2,747,3666
6,2,0,35267,0,11,35,2,4.1,0,1,2,0,0,1880,1260
2,0,1,36613,0,6,34,1,3.8,2,5,0,0,1,1292,3
6,1,0,49122,0,8,68,1,4.1,1,1,0,1,0,1662,2931
5,1,1,11367,0,1,68,2,4.7,2,2,2,0,2,1807,4863
1,3,2,8282,0,7,49,2,3.9,2,0,1,1,1,1098,3103
4,1,2,18645,0,9,35,2,4.5,1,6,0,1,1,601,3
4,0,1,9582,0,12,35,0,4.3,2,6,1,1,1,920,4010
4,3,2,44397,0,9,10,1,3.8,2,6,0,1,2,1065,4492
4,3,0,40030,0,9,13,1,4.4,1,6,0,0,0,1411,4135
2,0,0,31937,1,2,5,1,3.9,2,5,0,0,1,1728,2913
4,0,0,30783,0,12,71,2,4.6,1,6,2,1,0,1115,4996
0,3,2,17242,0,13,34,0,3.8,0,3,2,1,2,1977,3536
5,2,2,6552,1,1,59,0,4.9,0,2,2,0,2,841,3
6,2,1,22415,1,8,34,1,4.0,1,1,1,0,2,1287,4002
6,0,1,9862,1,8,78,2,3.6,1,1,0,0,1,1267,2250
4,1,2,49218,1,9,25,1,4.7,2,6,1,0,2,1076,3306
4,2,1,41868,0,12,53,0,4.9,2,6,1,1,1,1216,1616
5,2,0,47203,1,4,52,1,3.6,1,2,2,0,1,1704,2017
6,3,0,17392,0,11,81,2,4.6,2,1,2,1,2,1635,2316
2,1,0,43617,1,2,41,2,4.7,0,5,0,1,2,722,3
0,2,2,32899,1,13,8,2,3.7,1,3,1,1,2,1677,1452
5,3,2,43201,0,4,72,0,3.8,2,2,1,1,0,933,3476
1,2,1,27843,1,7,52,1,4.4,2,0,0,0,1,1155,3721
5,2,0,45897,1,4,35,2,5.0,1,2,1,1,2,1924,2713
0,2,0,32139,1,10,9,2,4.9,2,3,1,0,0,1187,3
5,2,0,17434,1,4,13,0,3.7,0,2,1,0,0,737,1118
5,1,2,31066,1,1,52,1,4.7,2,2,2,1,0,1776,3
0,3,2,43973,1,10,13,2,3.9,1,3,1,1,1,1793,4577
2,1,2,43025,0,6,51,1,4.7,0,5,1,0,2,1253,3046
6,0,0,26927,0,8,52,0,4.0,1,1,2,0,2,1936,1738
2,2,1,31556,1,2,82,2,4.6,2,5,0,1,0,1925,2289
2,1,0,42458,0,2,43,2,4.6,2,5,1,1,0,1352,4058
4,3,0,14198,1,12,83,1,4.0,1,6,1,1,0,1568,3
6,3,0,9284,1,8,34,2,3.5,0,1,1,1,2,1941,1458
5,1,2,19108,0,1,68,1,4.9,2,2,2,0,1,1073,4418
1,0,1,26776,1,7,55,1,4.1,1,0,1,1,1,567,3
1,2,1,17827,0,7,68,2,5.0,2,0,2,0,0,1229,1114
0,2,0,30131,1,13,49,0,4.8,0,3,1,1,1,1034,1231
2,2,0,22862,0,6,69,1,4.4,2,5,2,0,2,1053,3
2,0,0,7167,1,6,64,2,4.3,1,5,0,0,1,976,3
3,2,0,41196,0,5,33,1,4.8,0,4,0,0,0,1065,3
0,2,0,25618,0,13,51,1,4.3,2,3,1,0,2,1231,3331
2,0,1,5503,0,2,60,1,3.6,0,5,2,1,0,842,2617
5,2,2,43259,0,1,38,2,3.8,1,2,1,1,2,936,3
0,1,1,9205,0,10,15,1,4.6,2,3,1,0,1,939,4923
5,1,1,20011,1,1,17,0,3.7,1,2,2,0,1,671,1660
3,0,2,38518,0,0,18,0,4.3,0,4,0,1,0,568,4439
6,0,2,38864,0,8,4,0,4.6,2,1,2,0,2,615,3
6,3,1,47653,1,11,34,0,4.0,1,1,1,1,1,1408,3
1,1,1,44295,1,3,51,2,5.0,0,0,2,0,1,1272,3
1,0,1,8205,0,7,69,1,4.1,2,0,2,1,1,1894,3
2,2,0,41258,0,2,0,2,5.0,1,5,2,0,0,1228,3
3,1,2,37323,1,5,13,0,4.9,0,4,0,0,2,1333,3
1,0,2,18210,1,3,59,2,3.6,0,0,2,0,2,748,3
6,3,0,46861,1,8,34,0,4.3,0,1,0,1,2,1455,1724
1,3,0,43306,0,7,59,0,4.4,1,0,1,0,2,992,3
3,2,0,22666,1,0,83,1,4.5,1,4,1,0,0,1373,3821
1,1,2,27457,0,3,64,1,4.3,0,0,0,1,2,1096,3
1,2,2,23267,0,7,17,1,3.7,1,0,2,0,2,1940,4014
2,2,0,5736,0,6,67,0,4.3,0,5,2,1,0,746,1132
2,1,2,46254,1,2,49,2,4.3,2,5,2,1,2,846,4715
5,3,1,9767,1,1,48,2,3.6,0,2,2,0,1,1369,3
4,0,0,5115,1,9,17,1,4.1,2,6,2,1,2,1836,2218
1,1,2,14590,1,7,17,1,4.2,2,0,0,0,1,1754,1949
5,1,0,40264,0,1,17,2,4.7,1,2,0,1,2,1136,4841
5,2,0,36892,0,4,78,0,4.1,1,2,0,1,1,1444,4651
4,2,0,9047,0,9,35,1,3.9,0,6,1,0,0,538,1671
4,1,0,31481,1,12,51,2,3.6,1,6,0,1,2,1042,3374
1,2,2,33885,1,3,17,2,3.7,0,0,1,0,2,1723,3
0,2,2,11671,0,13,51,0,4.7,2,3,2,0,0,596,4372
3,1,1,33128,0,0,62,0,4.7,2,4,0,1,0,1117,3
1,1,1,19582,1,3,84,1,4.9,0,0,1,0,0,1920,4967
2,0,0,8365,0,6,30,0,4.5,2,5,1,0,0,1212,4270
1,2,2,14014,0,3,0,2,3.7,1,0,1,1,1,1607,4764
3,1,2,9735,1,5,37,0,4.8,0,4,1,1,2,1698,3
2,1,0,26239,1,2,81,0,4.0,2,5,0,1,1,878,4008
4,3,1,11751,1,9,22,1,3.8,2,6,0,0,1,1922,3
2,3,0,25172,0,2,51,2,4.9,0,5,1,1,1,1644,1795
4,3,1,38299,0,9,31,2,3.6,1,6,0,1,0,590,3272
1,2,2,44575,1,7,51,2,4.6,2,0,0,1,1,570,2800
1,2,0,37858,0,3,17,0,3.7,1,0,0,1,1,1887,2169
4,3,2,8524,0,12,7,2,4.0,1,6,2,0,1,1212,4611
0,2,1,49357,0,10,17,1,4.5,2,3,0,1,1,1738,3
0,1,1,44684,1,13,17,1,4.5,2,3,0,0,1,1126,1120
5,3,0,22951,1,4,1,0,4.3,1,2,2,0,0,528,3
4,3,1,34047,0,12,65,0,4.1,1,6,2,0,2,1985,3
3,1,0,46268,0,0,70,2,3.5,1,4,1,1,2,1668,3186
0,1,1,7907,0,13,61,1,4.0,1,3,0,1,0,800,3
0,0,1,18247,1,10,3,0,3.6,1,3,2,0,0,1195,3
5,1,0,47861,0,4,36,1,3.5,0,2,0,1,2,887,3
6,3,0,39108,1,8,6,2,4.6,0,1,2,1,1,1136,3
6,2,2,34524,0,11,56,2,4.4,0,1,1,1,0,731,1872
4,1,0,39137,0,9,17,0,3.6,1,6,1,1,0,1454,4117
0,2,1,11854,0,13,83,2,5.0,0,3,1,0,2,1407,2964
5,2,1,30907,1,4,30,0,4.7,0,2,0,0,2,1044,3
6,3,1,48387,1,11,17,0,4.4,1,1,0,0,2,1325,3
5,1,2,20476,0,4,17,1,3.9,1,2,2,0,1,905,1740
4,0,2,15877,0,9,32,0,3.7,0,6,1,0,2,1458,3233
1,1,0,20245,0,3,64,2,4.4,2,0,0,0,2,562,3
6,3,0,17806,0,8,45,1,4.1,2,1,2,1,1,1701,1079
4,0,2,45662,0,9,25,1,3.8,1,6,2,0,2,788,4824
5,0,0,30668,0,1,47,2,3.9,0,2,2,1,2,869,3
5,1,2,38020,1,4,73,1,4.9,0,2,1,1,0,1791,4002
2,1,1,14285,1,2,9,1,4.9,1,5,0,0,0,1748,3
5,1,1,19854,1,4,78,1,4.0,0,2,2,0,2,998,1971
4,1,2,12702,1,9,23,1,4.7,2,6,1,0,1,567,3
3,2,0,38337,1,5,71,1,4.1,0,4,0,0,0,850,3
6,3,0,18222,0,8,81,1,4.5,2,1,0,0,2,703,3
5,1,0,31820,0,1,24,2,4.8,2,2,2,0,1,619,3
5,3,2,17103,1,1,70,2,4.1,0,2,1,1,2,568,3
0,1,0,20786,0,13,13,2,3.8,1,3,2,0,2,822,3
6,0,1,9807,0,11,26,0,4.1,2,1,2,1,1,1985,3
2,0,1,45216,0,2,28,1,4.8,0,5,2,1,2,1363,3
6,1,2,26524,1,11,47,1,4.3,0,1,1,0,1,587,1303
1,3,2,48168,0,3,47,2,3.5,0,0,2,0,1,1226,1282
1,2,0,8839,1,7,0,0,3.9,1,0,2,0,0,1117,1757
1,1,0,12498,0,7,81,1,4.3,1,0,2,1,1,860,3
5,1,1,6462,1,1,69,2,4.8,2,2,0,0,1,760,1146
0,3,2,27870,0,10,44,0,4.8,0,3,2,1,2,1536,3
2,2,0,30397,0,6,0,1,3.6,0,5,1,1,0,1049,3
4,0,0,16839,1,12,55,1,4.9,0,6,2,0,1,1047,3
5,0,0,6582,1,1,35,0,4.3,1,2,0,0,0,1324,2562
1,2,1,26506,0,7,34,1,4.7,0,0,0,0,0,832,1939
1,3,1,8317,1,7,47,2,4.5,1,0,0,0,1,1982,1781
4,2,1,17947,0,9,75,1,4.2,2,6,0,1,1,502,3
2,0,0,33939,0,6,2,2,3.7,2,5,1,1,0,1048,2283
3,3,2,43516,0,0,0,2,3.7,1,4,2,0,2,975,1195
6,3,2,34195,0,11,79,0,4.6,0,1,0,1,1,1042,3447
3,0,0,30591,1,5,61,2,3.5,0,4,2,0,2,871,3
3,1,0,16276,1,0,64,2,4.5,2,4,2,1,1,1617,2392
2,0,0,34184,0,2,73,2,4.1,1,5,0,0,0,865,3
2,1,1,43820,0,6,57,2,4.3,2,5,2,1,1,572,3829
3,0,1,20562,0,5,76,2,4.6,2,4,2,1,0,1219,2464
1,2,2,7155,1,3,13,1,3.8,1,0,0,1,1,1474,3
0,0,1,29643,0,10,17,1,4.8,0,3,1,1,2,1991,2562
3,3,0,13258,0,0,47,2,4.3,2,4,0,0,1,1032,3411
3,3,0,33061,0,0,47,0,4.6,0,4,2,1,0,1017,3
3,2,2,20655,1,5,79,2,5.0,1,4,1,0,2,1425,3
3,2,0,30489,0,5,17,0,4.5,2,4,2,0,1,742,3435
6,2,0,45530,1,11,48,2,3.8,0,1,0,0,2,1671,3903
5,0,2,24143,1,4,47,2,4.8,2,2,2,0,1,1022,2348
3,2,1,46415,0,5,77,0,4.2,0,4,1,0,0,599,3
0,0,0,11798,0,10,2,1,4.3,0,3,2,1,2,577,3
1,1,0,16272,0,3,52,0,4.3,0,0,0,1,1,1915,3
5,3,0,7744,1,1,34,1,3.9,2,2,2,1,2,952,3290
5,2,0,49668,1,1,6,1,4.1,2,2,1,0,2,1429,1900
2,1,1,35522,0,2,17,2,4.6,0,5,1,0,1,833,1760
1,0,1,46394,1,7,68,2,3.7,1,0,2,1,2,1023,1444
4,3,1,41661,0,9,34,0,4.1,1,6,2,0,1,831,4865
1,3,2,21962,1,7,45,2,4.9,2,0,1,1,1,561,4578
2,2,1,26630,0,6,51,0,3.7,2,5,1,1,2,1011,2598
0,2,1,21053,0,10,51,0,4.5,2,3,2,0,0,1700,3741
0,1,2,21569,0,10,17,0,3.6,0,3,1,0,1,587,1325
5,3,1,14312,0,4,82,1,4.7,1,2,2,0,1,1807,4057
5,2,0,20365,1,1,18,2,4.9,1,2,2,0,0,982,4887
6,0,0,7176,1,8,1,2,4.9,2,1,0,1,2,736,3521
2,0,1,23996,1,2,18,1,4.8,1,5,0,1,2,974,1767
0,2,0,43503,1,13,62,1,4.7,0,3,1,1,1,1570,3323
4,0,2,40473,1,9,68,0,4.4,0,6,2,0,1,1653,3
5,1,1,28826,1,4,68,0,3.7,0,2,0,0,2,1127,1257
0,2,0,38609,1,10,4,0,4.3,2,3,1,1,0,1699,1407
3,0,1,44074,1,0,61,0,4.7,1,4,0,0,2,1640,3898
5,2,2,38438,1,4,34,0,4.7,1,2,1,0,2,1350,3
3,2,0,25581,0,0,34,1,4.3,2,4,1,1,0,1293,4195
0,3,2,27242,0,10,68,1,4.5,1,3,2,0,1,1699,3
6,2,2,47240,0,11,51,0,4.5,1,1,0,1,0,1055,3
5,0,1,34480,1,1,0,2,3.6,1,2,2,1,2,732,4315
0,0,0,19456,1,13,25,1,4.6,1,3,2,0,0,1194,3256
4,0,2,41488,1,9,16,2,4.2,1,6,2,0,0,832,2601
2,2,0,6520,1,2,82,1,4.9,0,5,1,0,1,1874,3788
2,2,1,16637,1,6,60,0,3.9,0,5,0,0,1,893,3448
2,1,2,44015,0,6,0,0,4.6,1,5,1,1,1,1619,3
3,0,2,35779,1,0,64,1,4.5,2,4,2,1,1,1368,3
0,0,0,30490,1,10,71,1,3.9,2,3,2,0,2,1650,3
0,2,1,26938,0,13,51,1,3.8,2,3,1,1,2,1159,3549
1,1,0,42662,1,7,17,1,5.0,2,0,1,0,2,1960,2636
5,2,2,14477,1,1,39,1,4.2,1,2,2,1,2,608,3
5,2,2,32046,0,1,17,2,4.9,0,2,1,0,0,581,3833
3,1,2,14885,1,5,69,2,4.2,0,4,2,0,0,739,3036
6,0,2,33617,1,8,73,0,4.4,0,1,1,0,2,1666,4609
4,3,1,38331,0,12,23,0,4.9,2,6,0,1,1,548,3
2,1,2,31345,0,2,64,2,4.0,2,5,2,1,1,743,4286
3,0,1,6370,1,0,49,2,3.6,0,4,0,1,2,520,3522
4,3,2,17892,1,9,22,1,4.7,2,6,0,0,1,1296,4152
5,0,1,25915,1,1,14,1,4.4,0,2,0,0,1,978,1772
0,0,0,20852,0,10,38,0,4.0,1,3,0,1,1,1069,1155
1,1,2,8949,0,3,64,0,4.6,0,0,0,1,0,1252,3629
1,1,2,21496,1,3,51,1,3.8,1,0,0,1,1,1871,3
6,0,2,9975,1,11,68,1,4.2,1,1,2,1,1,1620,3
5,0,0,43226,0,4,34,2,3.7,2,2,0,0,0,1282,3
2,3,2,40360,0,6,51,1,4.5,1,5,2,1,2,1068,2198
5,3,1,9908,1,4,68,1,4.7,1,2,0,0,1,1765,4699
4,3,0,18731,1,9,14,0,3.9,0,6,2,1,1,989,4623
